"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"d:\gazzeh travail\espace-elite\src\pages\api\products\index.ts", "TypeScript", 0, 150, 0, 13, 24, 187
"d:\gazzeh travail\espace-elite\src\pages\api\renseignements\companies\index.ts", "TypeScript", 0, 180, 0, 6, 23, 209
"d:\gazzeh travail\espace-elite\src\pages\api\renseignements\index.ts", "TypeScript", 0, 562, 0, 7, 36, 605
"d:\gazzeh travail\espace-elite\src\pages\api\renseignements\patients\index.ts", "TypeScript", 0, 352, 0, 21, 43, 416
"d:\gazzeh travail\espace-elite\src\pages\api\renseignements\patients\search.ts", "TypeScript", 0, 119, 0, 8, 9, 136
"d:\gazzeh travail\espace-elite\src\pages\api\repairs\index.ts", "TypeScript", 0, 155, 0, 8, 14, 177
"d:\gazzeh travail\espace-elite\src\pages\api\spare-parts\index.ts", "TypeScript", 0, 70, 0, 0, 16, 86
"d:\gazzeh travail\espace-elite\src\pages\api\stock-locations\[id].ts", "TypeScript", 0, 63, 0, 2, 11, 76
"d:\gazzeh travail\espace-elite\src\pages\api\stock-locations\index.ts", "TypeScript", 0, 72, 0, 2, 10, 84
"d:\gazzeh travail\espace-elite\src\pages\api\stock-locations\setup.ts", "TypeScript", 0, 58, 0, 3, 9, 70
"d:\gazzeh travail\espace-elite\src\pages\api\stock\inventory\index.ts", "TypeScript", 0, 52, 0, 0, 7, 59
"d:\gazzeh travail\espace-elite\src\pages\api\stock\locations\index.ts", "TypeScript", 0, 72, 0, 0, 9, 81
"d:\gazzeh travail\espace-elite\src\pages\api\stock\transfers\index.ts", "TypeScript", 0, 149, 0, 5, 15, 169
"d:\gazzeh travail\espace-elite\src\pages\api\tasks\index.ts", "TypeScript", 0, 114, 0, 1, 15, 130
"d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\index.ts", "TypeScript", 0, 45, 0, 0, 9, 54
"d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\installations.ts", "TypeScript", 0, 129, 0, 5, 11, 145
"d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\payments.ts", "TypeScript", 0, 78, 0, 2, 10, 90
"d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\tasks.ts", "TypeScript", 0, 41, 0, 2, 10, 53
"d:\gazzeh travail\espace-elite\src\pages\api\technicians\[id]\transfers.ts", "TypeScript", 0, 57, 0, 2, 10, 69
"d:\gazzeh travail\espace-elite\src\pages\api\technicians\index.ts", "TypeScript", 0, 64, 0, 3, 8, 75
"d:\gazzeh travail\espace-elite\src\pages\api\upload\index.ts", "TypeScript", 0, 53, 0, 4, 11, 68
"d:\gazzeh travail\espace-elite\src\pages\api\users\doctors.ts", "TypeScript", 0, 40, 0, 0, 7, 47
"d:\gazzeh travail\espace-elite\src\pages\api\users\employees.ts", "TypeScript", 0, 40, 0, 0, 5, 45
"d:\gazzeh travail\espace-elite\src\pages\api\users\index.ts", "TypeScript", 0, 136, 0, 5, 23, 164
"d:\gazzeh travail\espace-elite\src\pages\api\users\technicians.ts", "TypeScript", 0, 42, 0, 0, 7, 49
"d:\gazzeh travail\espace-elite\src\pages\auth\signin.tsx", "TypeScript JSX", 0, 0, 120, 0, 9, 129
"d:\gazzeh travail\espace-elite\src\pages\auth\signup.tsx", "TypeScript JSX", 0, 0, 181, 4, 14, 199
"d:\gazzeh travail\espace-elite\src\pages\index.tsx", "TypeScript JSX", 0, 0, 23, 1, 5, 29
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminLayout.tsx", "TypeScript JSX", 0, 0, 33, 3, 7, 43
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminNavbar.tsx", "TypeScript JSX", 0, 0, 47, 1, 5, 53
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\AdminSidebar.tsx", "TypeScript JSX", 0, 0, 125, 6, 10, 141
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\accessories\index.tsx", "TypeScript JSX", 0, 0, 369, 3, 24, 396
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\AccessoriesTable.tsx", "TypeScript JSX", 0, 0, 115, 0, 7, 122
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DiagnosticDevicesTable.tsx", "TypeScript JSX", 0, 0, 108, 0, 6, 114
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\DiagnosticResultsNotification.tsx", "TypeScript JSX", 0, 0, 204, 5, 17, 226
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\LocationForm.tsx", "TypeScript JSX", 0, 0, 115, 1, 10, 126
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\MedicalDevicesTable.tsx", "TypeScript JSX", 0, 0, 97, 0, 6, 103
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\ParametersViewDialog.tsx", "TypeScript JSX", 0, 0, 113, 1, 11, 125
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\ProductForm.tsx", "TypeScript JSX", 0, 0, 469, 9, 34, 512
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\RepairHistoryDialog.tsx", "TypeScript JSX", 0, 0, 100, 1, 5, 106
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\SparePartsTable.tsx", "TypeScript JSX", 0, 0, 113, 0, 7, 120
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\StockLocationsTable.tsx", "TypeScript JSX", 0, 0, 88, 1, 8, 97
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\TabSwitcher.tsx", "TypeScript JSX", 0, 0, 18, 0, 3, 21
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\AccessoryForm.tsx", "TypeScript JSX", 0, 0, 214, 1, 16, 231
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\DiagnosticDeviceForm.tsx", "TypeScript JSX", 0, 0, 405, 11, 37, 453
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\DynamicParameterBuilder.tsx", "TypeScript JSX", 0, 0, 343, 0, 16, 359
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\MedicalDeviceForm.tsx", "TypeScript JSX", 0, 0, 331, 1, 26, 358
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\ParameterConsumer.tsx", "TypeScript JSX", 0, 0, 256, 10, 28, 294
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\RepairForm.tsx", "TypeScript JSX", 0, 0, 370, 3, 33, 406
