"filename", "language", "CSS", "TypeScript", "TypeScript JSX", "Markdown", "comment", "blank", "total"
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\ParameterPreviewDialog.tsx", "TypeScript JSX", 0, 0, 71, 0, 1, 7, 79
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\ParametersViewDialog.tsx", "TypeScript JSX", 0, 0, 114, 0, 1, 11, 126
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\RepairHistoryDialog.tsx", "TypeScript JSX", 0, 0, 119, 0, 1, 7, 127
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\SparePartsTable.tsx", "TypeScript JSX", 0, 0, 277, 0, 14, 21, 312
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\StockLocationsTable.tsx", "TypeScript JSX", 0, 0, 376, 0, 14, 32, 422
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\TabSwitcher.tsx", "TypeScript JSX", 0, 0, 30, 0, 0, 3, 33
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\dialogs\AssignDeviceDialog.tsx", "TypeScript JSX", 0, 0, 148, 0, 1, 14, 163
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\dialogs\EditDeviceDialog.tsx", "TypeScript JSX", 0, 0, 65, 0, 1, 8, 74
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\dialogs\RepairDeviceDialog.tsx", "TypeScript JSX", 0, 0, 47, 0, 0, 6, 53
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\AccessoryForm.tsx", "TypeScript JSX", 0, 0, 292, 0, 1, 15, 308
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\DiagnosticDeviceForm.tsx", "TypeScript JSX", 0, 0, 374, 0, 13, 36, 423
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\MedicalDeviceForm.tsx", "TypeScript JSX", 0, 0, 425, 0, 7, 28, 460
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\ParameterConsumer.tsx", "TypeScript JSX", 0, 0, 445, 0, 31, 49, 525
"d:\gazzeh travail\espace-elite\src\pages\roles\admin\appareils\components\forms\RepairForm.tsx", "TypeScript JSX", 0, 0, 371, 0, 3, 35, 409
